low/low12.csv: [320, -560, 640, -240, 640, -280, 320, -560, 20, -20, 280, -600, 600, -280, 320, -600, 280, -600, 320, -600, 600, -280, 600, -320, 600, -280, 320, -600, 600, -280, 280, -600, 320, -600, 280, -600, 600, -320, 280, -600, 600, -320, 280, -600, 280, -600, 600]
low/low13.csv: [360, -560, 600, -280, 640, -240, 360, -560, 320, -560, 640, -280, 320, -560, 320, -600, 320, -560, 640, -280, 600, -280, 600, -320, 280, -600, 640, -240, 320, -600, 280, -600, 320, -600, 600, -280, 320, -600, 560, -320, 320, -600, 280, -600, 600]
low/low14.csv: [320, -560, 640, -280, 640, -240, 320, -600, 320, -560, 640, -280, 280, -600, 320, -600, 320, -560, 640, -280, 600, -280, 640, -280, 280, -600, 600, -320, 280, -600, 320, -600, 280, -600, 600, -320, 280, -600, 600, -280, 320, -600, 280, -600, 600]
low/low15.csv: [320, -560, 640, -280, 600, -280, 320, -600, 320, -560, 640, -280, 320, -560, 320, -600, 280, -600, 640, -280, 600, -280, 600, -320, 280, -600, 600, -320, 280, -600, 320, -600, 280, -600, 600, -320, 280, -600, 600, -280, 320, -600, 280, -600, 600]
low/low16.csv: [360, -560, 600, -280, 640, -280, 320, -560, 320, -600, 600, -280, 320, -600, 280, -600, 320, -600, 560, -320, 600, -280, 640, -280, 280, -600, 640, -280, 280, -600, 320, -600, 280, -600, 600, -320, 280, -600, 600, -320, 280, -600, 280, -600, 600]
low/low17.csv: [320, -600, 640, -240, 640, -280, 320, -560, 320, -600, 600, -280, 320, -600, 280, -600, 320, -560, 640, -280, 600, -280, 600, -320, 280, -600, 600, -320, 280, -600, 320, -600, 280, -600, 600, -320, 280, -600, 600, -320, 280, -600, 280, -640, 560]
up/up0.csv  : [520, -360, 800, -80, 800, -120, 440, -440, 480, -440, 800, -40, 480, -480, 440, -440, 440, -480, 680, -200, 760, -120, 760, -160, 400, -520, 680, -200, 400, -520, 360, -520, 360, -560, 680, -200, 680, -200, 680, -240, 360, -560, 640, -240, 640]
up/up1.csv  : [360, -520, 680, -240, 640, -240, 360, -560, 360, -520, 640, -240, 360, -560, 360, -520, 360, -560, 640, -240, 640, -240, 640, -280, 320, -560, 640, -280, 320, -560, 360, -560, 280, -600, 640, -280, 600, -280, 640, -240, 320, -600, 600, -280, 640]
up/up2.csv  : [320, -560, 680, -240, 640, -240, 360, -560, 320, -560, 640, -240, 320, -600, 320, -560, 320, -600, 600, -280, 600, -280, 640, -280, 320, -560, 640, -280, 280, -600, 320, -600, 280, -600, 600, -280, 640, -280, 600, -280, 320, -600, 600, -280, 600]
up/up3.csv  : [320, -600, 640, -240, 640, -240, 360, -560, 320, -560, 640, -280, 320, -560, 320, -600, 320, -560, 640, -280, 600, -280, 600, -320, 280, -600, 600, -280, 320, -600, 320, -560, 320, -600, 600, -280, 600, -320, 600, -280, 320, -600, 600, -280, 600]
up/up4.csv  : [320, -560, 640, -280, 600, -280, 320, -600, 280, -600, 600, -280, 320, -600, 320, -560, 320, -600, 600, -280, 600, -280, 640, -280, 280, -600, 640, -280, 280, -600, 320, -600, 280, -600, 600, -320, 600, -280, 600, -280, 320, -600, 600, -280, 600]
up/up5.csv  : [320, -600, 640, -240, 600, -320, 280, -600, 320, -560, 640, -280, 320, -560, 320, -600, 280, -600, 640, -280, 600, -280, 600, -320, 280, -600, 600, -280, 320, -600, 280, -600, 280, -640, 560, -320, 600, -320, 560, -320, 280, -600, 600, -320, 600]
